Kids_First_Biospecimen_ID_methyl	mean_beta_value
BS_6WRGGY1Y	0.549149306125556
BS_6YY5FQJX	0.5299923299602568
BS_6ZSPAKYX	0.5643509504586938
BS_707NA9ET	0.5626670536769122
BS_71966GA8	0.5646771045468744
BS_71STZY0A	0.5783406961338335
BS_7535PGPW	0.5617955205243317
BS_76B3BYEZ	0.5500744931889898
BS_76MPTPTA	0.5510833977786787
BS_76X3HJ0M	0.5450222893313372
BS_78QHTGF8	0.484968539099891
BS_7BQTBTHZ	0.5573350378799972
BS_7FDN6CJB	0.5436968530332392
BS_7GRCE406	0.5307705733819816
BS_7HDY61AV	0.6192261858540744
BS_7JTWSDK1	0.5493455410717666
BS_7KDV25PK	0.49303154196093213
BS_7MFSD4VP	0.5455961643090269
BS_7MTTXKMM	0.5676872980172576
BS_7MWSK2SH	0.5580233720692915
BS_7Q3AEAM5	0.5618803204216254
BS_7R0JWX21	0.5747097279427922
BS_7SSM2WX4	0.566258809152004
BS_7TZ3H638	0.5286929548964395
BS_7VBT9G8F	0.5739651897566452
BS_7Y1A2J3B	0.5463768059168154
BS_7ZC1599X	0.526554160929026
BS_80JJQ4NG	0.5515630258747837
BS_80KFQCBJ	0.5147660635691294
BS_80Z351WQ	0.5807157742404739
BS_83A6CZNH	0.5859711024090731
BS_83V1GTVC	0.5456431960908992
BS_83XZJWG0	0.4984527852095157
BS_884GB32R	0.5023427571192502
BS_8B8DKWD6	0.5580440203492206
BS_8CN9JW34	0.5419020949745003
BS_8ES144GT	0.5646045018545647
BS_8F5SCRM3	0.5306755541114121
BS_8FGT5MK8	0.5669531681312818
BS_8GB5AH2Z	0.5151841531367382
BS_8HSSAPP9	0.2026434552087264
BS_8HTKD2CD	0.5935429464156907
BS_8KS2BZR5	0.5738752480380407
BS_8KX1Y9WX	0.5156181278822877
BS_8KXCKTRY	0.5368137964770698
BS_8KZ641MM	0.5289864862840716
BS_8P1KGX5M	0.5477407505946417
BS_8R0WBGMK	0.5654014437995389
BS_8R7FB13G	0.5593931343293318
BS_8RNAR5N3	0.552470213555857
BS_8SPQ35BC	0.5417641796169705
BS_8SWRSV8D	0.49925997191540183
BS_8TEAVCT6	0.5382067340915182
BS_8VBXKGMD	0.5601189358633479
BS_8VP3HW1B	0.5237490573562503
BS_910X6NM7	0.5484614997926355
BS_96M9C6B5	0.5235160130501175
BS_96QPQX80	0.5540409422519016
BS_97QEPM0H	0.5398723572786754
BS_98KYK28K	0.5523539859749251
BS_98S645ES	0.5574252571287379
BS_9AHABF0Q	0.5470560962501161
BS_9AWA5SR5	0.5384128484964678
BS_9DN9E727	0.5775850036167095
BS_9DNMHYH6	0.5634284702670442
BS_9J5DZY7A	0.5238076317277536
BS_9JBGVQ0M	0.572996017317944
BS_9MHDYSCV	0.5548928522721553
BS_9N9CVAB8	0.5238753667211165
BS_9PGP77HY	0.5631340367140815
BS_9QDA6XJM	0.5204603198003394
BS_9SVG5Q6R	0.4764931918192866
BS_9VSFXYKW	0.5470763750028468
BS_9WFPXJKV	0.5663247430368926
BS_9WWF3A2F	0.5576104164227522
BS_9XBGGK0F	0.5298655175267105
BS_9YNS9WZJ	0.5596728325531946
BS_9Z5PWXZB	0.5450744406804986
BS_A1FZQGM1	0.5551427044490587
BS_A4771SDM	0.5562275924295772
BS_A5BZYXKN	0.5828064683136557
BS_A6WE8FQS	0.5684262300540385
BS_A9QBBVXQ	0.5396623229194389
BS_AAVNFHHB	0.5306389017270655
BS_ADB1BXB6	0.537775698794375
