signature	mmr_exposure	ctrl_exposure	exposure_diff	pvalue
SBS22	0	8.310042435565835e-4	-8.310042435565835e-4	0.7037570364802203
SBS23	0	0.0010295340538318436	-0.0010295340538318436	0.654360565490681
SBS24	0	0.003601108314001945	-0.003601108314001945	0.42290642141125945
SBS25	0.014023294545015786	0.011193883435906228	0.0028294111091095586	0.575048159287598
SBS26	0.0048683133448417125	0.001324554909603237	0.0035437584352384756	0.06987958840889032
SBS27	0	0	0	NA
SBS28	0.011292409817460321	0.001780601378407528	0.009511808439052794	0.1875274018556302
SBS29	0	0.0016618001443369087	-0.0016618001443369087	0.5873943979760602
SBS30	0.00485767959318859	0.0046836433027461965	1.740362904423939e-4	0.8649606695311409
SBS31	0.009002804382809992	0.010049654240533142	-0.0010468498577231502	0.8501251247857842
SBS32	0	0.005578565164029066	-0.005578565164029066	0.2923134124987944
SBS33	0	0	0	NA
SBS34	0.004178762781051531	0.0021311532772837444	0.0020476095037677863	0.38948132766563914
SBS35	0	0.0038842519602714583	-0.0038842519602714583	0.45279709837563226
SBS36	0.0048430445792188226	5.218489790127942e-4	0.004321195600206028	0.0061087771862055945
SBS37	0.02522869259132159	0.044599907552483005	-0.019371214961161416	0.20708668252238774
SBS38	0	2.59814915144518e-4	-2.59814915144518e-4	0.8534877498541928
SBS39	0.01782441216837322	0.02311154464536458	-0.0052871324769913595	0.7276741729912863
SBS40	0.09142474456251325	0.06486347068316237	0.02656127387935088	0.09679394010144732
SBS41	0	0.0025351555259012113	-0.0025351555259012113	0.4946202402280639
SBS42	0	0.0015895790061813252	-0.0015895790061813252	0.5996362636110208
SBS43	0.010565384758730114	0.004067228434358729	0.006498156324371385	0.6689369644528242
SBS44	0.0041627210819104535	0.0036984717658127106	4.6424931609774294e-4	0.7478748395864949
SBS45	0	0	0	NA
SBS46	0	0.00855548468310253	-0.00855548468310253	0.25059518297730327
SBS47	0.033728998770680446	0.018400972975168968	0.015328025795511478	0.39240473702447315
SBS48	0	0	0	NA
SBS49	0	0	0	NA
SBS50	0	0.001912347084687975	-0.001912347084687975	0.5427685649738689
SBS51	0.005899824978670554	0.013747510677889341	-0.007847685699218787	0.4392146434308027
SBS52	0	1.0406488205809215e-4	-1.0406488205809215e-4	0.899729181651994
SBS53	0	2.022278843371255e-4	-2.022278843371255e-4	0.8534877498541928
SBS54	0	0.001990945342116803	-0.001990945342116803	0.5533418562193753
SBS55	0	0.012729141695282694	-0.012729141695282694	0.1688789509166902
SBS56	0	0	0	NA
SBS57	0	0.0012788752487273474	-0.0012788752487273474	0.6123943953884943
SBS58	0.01681367673287584	0.017425585581869643	-6.119088489938036e-4	0.741734165158307
SBS59	0.004055397841211938	0	0.004055397841211938	1.3803924811828028e-13
SBS60	0	0	0	NA
SBS84	0	0.002003541850579908	-0.002003541850579908	0.5427685649738689
SBS85	0.004080861676784099	0.00486596473086042	-7.851030540763212e-4	0.7707694356249274
SBS86	0.011825075117041424	0.001538680486162994	0.01028639463087843	0.0023242676171360264
SBS87	0.00800192633250399	0.007684648585669337	3.172777468346535e-4	0.9329024258217948
SBS88	0	3.3879915822463476e-4	-3.3879915822463476e-4	0.7902519530695173
SBS89	0.015418880272206833	0.016652158864207737	-0.001233278592000904	0.4738036979251808
SBS90	0.0051331498752333	0.004113234819376187	0.001019915055857113	0.609968785075025
SBS91	0	0	0	NA
SBS92	0.005814140109712421	0.004470066178950544	0.0013440739307618776	0.6720320528745931
SBS93	0.004210404026462555	8.798462826749584e-4	0.003330557743787597	0.06904116458840232
SBS94	0.004870743370300973	4.91510449596189e-4	0.004379232920704784	4.681311912725177e-4
SBS95	0	0.001993829116448193	-0.001993829116448193	0.6396853529703899
