signature	nonmmr_exposure	ctrl_exposure	exposure_diff	pvalue
SBS20	0.0012753443773788082	0.0010388344285925243	2.365099487862839e-4	0.4145732109776267
SBS21	0.0032084386698214987	0.0020489933162025605	0.0011594453536189382	0.32463960467162245
SBS22	0.0013031353992573255	7.135087814398586e-4	5.896266178174669e-4	0.2114425235589508
SBS23	4.098040440253945e-4	0.001183761248988532	-7.739572049631375e-4	0.36388576276168416
SBS24	0.0025259701178481503	0.003868669261147958	-0.0013426991432998075	0.43737104168275104
SBS25	0.011393252799868617	0.011144267994798744	2.489848050698726e-4	0.7488019618685996
SBS26	0.001358990775416004	0.0013159851341961145	4.300564121988951e-5	0.4350797906441793
SBS27	0	0	0	NA
SBS28	4.6731648833986546e-4	0.0021074279671345337	-0.0016401114787946683	0.16457710558872066
SBS29	0.002152939709107943	0.0015395742131951034	6.133654959128395e-4	0.6098060686398024
SBS30	0.006659969269918084	0.004191811043844544	0.0024681582260735408	0.26592335432809944
SBS31	0.011792666411633651	0.009615884899014958	0.002176781512618693	0.7077876796721639
SBS32	0.0046479657340745065	0.005810155917462371	-0.0011621901833878644	0.42429512079615234
SBS33	0	0	0	NA
SBS34	0.0025767376098419395	0.002020264308331477	5.564733015104625e-4	0.46326397621222
SBS35	0.006057679847927142	0.003343368540581728	0.0027143113073454144	0.0590908681874857
SBS36	9.443974039888387e-4	4.166927700657968e-4	5.277046339230419e-4	0.26173719595633577
SBS37	0.04121070470339432	0.04544335105362192	-0.0042326463502275966	0.4047182921613793
SBS38	6.244946619128217e-4	1.6906001610050915e-4	4.554346458123126e-4	0.28867223138971654
SBS39	0.02868763566143797	0.021723867973686223	0.006963767687751747	0.0836932323059138
SBS40	0.06455372450146094	0.06494055471017152	-3.8683020871058127e-4	0.9046348476890852
SBS41	0.002735801960763531	0.0024852222704878266	2.5057969027570456e-4	0.6288226667916981
SBS42	0.0023405109523161162	0.0014027006462934562	9.3781030602266e-4	0.5042840931412852
SBS43	0.0037115947443684505	0.004155732114417008	-4.4413737004855717e-4	0.8277792680412573
SBS44	0.0044191592441956504	0.0035191201019966222	9.000391421990282e-4	0.3444489029413151
SBS45	0	0	0	NA
SBS46	0.009384975439584074	0.008349056027468276	0.0010359194121157978	0.7903209913821339
SBS47	0.01572379855882867	0.0190672197191444	-0.0033434211603157286	0.6085065018282088
SBS48	0	0	0	NA
SBS49	0	0	0	NA
SBS50	0.0027879453892801762	0.0016944440164738308	0.0010935013728063455	0.24739300305618386
SBS51	0.011977105971519568	0.01418809697810883	-0.002210991006589263	0.8496994036330046
SBS52	0	1.2996266757786014e-4	-1.2996266757786014e-4	0.6200222731381344
SBS53	4.088814557123917e-4	1.5079968144555698e-4	2.5808177426683474e-4	0.28867223138971654
SBS54	0	0.0024864158066193152	-0.0024864158066193152	0.027964459072798042
SBS55	0.005834834998783861	0.014444872041604101	-0.008610037042820241	0.01598937003002276
SBS56	0	0	0	NA
SBS57	8.376435847072968e-4	0.0013886810042649624	-5.510374195576656e-4	0.5880643558244791
SBS58	0.01970882690660451	0.01685737378026643	0.002851453126338079	0.37908639873361977
SBS59	0	0	0	NA
SBS60	0	0	0	NA
SBS84	0.0014274409729358678	0.0021469114164882883	-7.194704435524205e-4	0.574930000474488
SBS85	0.003868669736049538	0.00511415347008498	-0.0012454837340354422	0.746648500024147
SBS86	0.0025824155057668718	0.001278934593575686	0.0013034809121911857	0.24997971671866837
SBS87	0.007208622433603008	0.0078031133640287876	-5.944909304257794e-4	0.39773015362019787
SBS88	4.243569476353895e-4	3.1750708316641963e-4	1.0684986446896988e-4	0.799142615666976
SBS89	0.012564531674981666	0.0176694135820121	-0.005104881907030434	0.27252313782263826
SBS90	0.008839941513833976	0.002936937553987603	0.005903003959846373	0.13627376277399825
SBS91	0	0	0	NA
SBS92	0.0034314068004938627	0.004728548937777396	-0.001297142137283533	0.59836350414166
SBS93	0.001172886815217275	8.069196554565366e-4	3.659671597607383e-4	0.4305410148909363
SBS94	3.8590350063033997e-4	5.177919968350345e-4	-1.3188849620469456e-4	0.5641181246923153
SBS95	0.0012481579999621116	0.002179398256211042	-9.312402562489303e-4	0.7765900153226761
