Hugo_symbol	n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	fdr
NBN	1	837	44.0364021	73978.9636	2.0086555934894634	0.397533968076689	0.04968286145437547	11.825219437264213	0.4439129310189694
NF1	17	821	22.04425483	74000.95575	69.54636821092983	2.3491567383805043e-23	34.571356281774015	137.46389248604746	1.573935014714938e-21
NF2	4	834	1.001968435	74021.99803	355.6034664600933	7.726028894045623e-8	35.07180502727175	15132.64480714405	1.0352878718021135e-6
PMS2	5	833	53.24765747	73969.75234	8.376558923648018	4.874295566916677e-4	2.60617863125693	20.87961124024142	0.0027214816915284777
POLE	1	837	16.5140112	74006.48599	5.200781191264764	0.18343832184515443	0.12430489236838153	33.29760845111281	0.2751003794065669
POLH	1	837	26.03733766	73996.96266	3.400160513568298	0.2621373815143879	0.0828404449169444	20.747339059085395	0.3443765600287057
PTCH1	4	834	2.505011921	74020.49499	118.16728071193207	5.312295140929875e-7	19.970920993200252	815.5533486382194	5.932062907371693e-6
PTPN11	1	837	10.01180009	74012.9882	8.840022179942757	0.1164766621775941	0.20351822784999882	62.30272494712742	0.21091719907834608
RAD50	4	834	86.23795949	73936.76204	4.1231969771222445	0.018681177887547164	1.0960641220752647	10.985575763690663	0.05960185326026953
RAD51D	4	834	18.51946433	74004.48054	18.669745223390997	1.1652862534205386e-4	4.610659995275922	56.37817603967014	9.759272372397011e-4
RECQL4	5	833	114.325117	73908.67488	3.891385080797927	0.011152280646932947	1.2365904241794956	9.384790723670427	0.039326463333921445
RMRP	2	836	110.33719550000001	73912.6628	1.6074707942071917	0.35727673372969826	0.19193313434558812	5.964427746894317	0.41890109254792585
SDHA	2	836	48.53849156	73974.46151	3.6119142839499396	0.11157914990438637	0.42473522010833675	13.802448115979535	0.21091719907834608
SLX4	2	836	38.05215509	73984.94784	4.657267688281582	0.07385733605365846	0.5434821078420865	18.072225282866576	0.16494805051983724
SMARCB1	2	836	6.005235353	74016.99476	29.49186718720632	0.0033511563291999716	2.90821621799737	165.40174044122526	0.01603767671831415
SMARCE1	2	836	1.001076826	74021.99892	176.67640995531102	3.7268320240188123e-4	9.202618148528325	9518.327206827938	0.0024969774560926043
SOS1	1	837	5.006766669	74017.99323	17.683296742801268	0.0653148067256957	0.3734997360844697	158.78589540730567	0.15089972588350387
