Hugo_symbol	n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
PTCH1	4	834	3	74020	118.16728071193207	5.312295140929875e-7	19.970920993200252	815.5533486382194	3.9310984042881077e-05
PTCH2	2	836	14	74009	12.644957070680174	0.013535846827472848	1.3927170673919917	55.14597900149129	1
PTPN11	1	837	10	74013	8.840022179942757	0.1164766621775941	0.20351822784999882	62.30272494712742	1
RAD50	4	834	86	73937	4.1231969771222445	0.018681177887547164	1.0960641220752647	10.985575763690663	1
RAD51D	4	834	19	74004	18.669745223390997	1.1652862534205386e-4	4.610659995275922	56.37817603967014	0.008623118275311986
RECQL4	5	833	114	73909	3.891385080797927	0.011152280646932947	1.2365904241794956	9.384790723670427	0.825268767873038
RMRP	3	835	110	73913	2.4142503558915447	0.13382177859532027	0.4893343428586251	7.26665117451598	1
SDHA	2	836	49	73974	3.6119142839499396	0.11157914990438637	0.42473522010833675	13.802448115979535	1
SLX4	2	836	38	73985	4.657267688281582	0.07385733605365846	0.5434821078420865	18.072225282866576	1
SMARCB1	2	836	6	74017	29.49186718720632	0.0033511563291999716	2.90821621799737	165.40174044122526	0.2479855683607979
SMARCE1	2	836	1	74022	176.67640995531102	3.7268320240188123e-4	9.202618148528325	9518.327206827938	0.027578556977739213
SOS1	1	837	5	74018	17.683296742801268	0.0653148067256957	0.3734997360844697	158.78589540730567	1
SOS2	1	837	4	74019	22.089018752427233	0.0547327024812704	0.44839482157198635	223.37026127614004	1
SUFU	2	836	1	74022	176.67640995531102	3.7268320240188123e-4	9.202618148528325	9518.327206827938	0.027578556977739213
TERT	2	836	12	74011	14.75657652753607	0.010417422949137197	1.6012258095467853	66.48266771552366	0.7708892982361526
TP53	9	829	22	74001	36.50812295325972	4.278129641508875e-11	14.748574167506401	82.7263415302284	3.1658159347165673e-9
TSC1	5	833	1	74022	444.11121529966255	1.0325551692694961e-9	49.585700444371604	16383.999999940395	7.640908252594271e-8
TSC2	8	830	2	74021	357.33274048772387	1.0522634597424848e-14	70.99515570821136	3669.2082280974546	7.786749602094387e-13
VHL	1	837	10	74013	8.840022179942757	0.1164766621775941	0.20351822784999882	62.30272494712742	1
WRN	1	837	50	73973	1.7675544243617054	0.43690692784636564	0.04383281171744096	10.335458359695304	1
XPC	2	836	47	73976	3.765431295236176	0.10439368339069455	0.44230786853101817	14.422931818336258	1
