Hugo_symbol	n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
FANCI	2	836	12	6283	1.2525477512823282	0.6759106896736261	0.1359449637271795	5.641807455971252	1
FGFR1	1	837	NA	NA	0	0	0	0	0
FGFR2	2	836	1	6294	15.046277272896583	0.03812979011799322	0.7825039042884844	882.9098655217881	1
FH	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	1
GBA	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	1
GJB2	9	829	32	6263	2.1245226712348027	0.05082924815487804	0.8887085460518103	4.5742911117566605	1
HMBS	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	1
LZTR1	1	837	10	6285	0.7509232574453587	1	0.017282240283452148	5.289962991343298	1
MPL	2	836	17	6278	0.8834748066654039	1	0.09883371385430645	3.7324392600848464	1
MSH2	1	837	0	6295	Inf	0.11748212533295953	0.19261363808363388	Inf	1
MSH6	1	837	4	6291	1.8787542066398744	0.4647749093800094	0.03810986288785512	19.01493552341655	1
MTAP	1	837	2	6293	3.758158880813598	0.3127002122416863	0.06364395942263679	72.42281982319072	1
MUTYH	5	833	18	6277	2.0928986969707126	0.1806835000619261	0.6057951293888374	5.86828009090544	1
NBN	1	837	16	6279	0.4688998024873866	0.7116939072890811	0.01117054120699652	3.0257953571245033	1
NF1	17	821	6	6289	21.68455188058532	6.7689866151953905e-12	8.128851526587766	67.42087564713603	4.5352210321809116e-10
NF2	4	834	0	6295	Inf	1.892948090786979e-4	4.970358070341893	Inf	0.012682752208272759
PMS2	5	833	19	6276	1.982498527470648	0.19249580667606409	0.57697041800302	5.507322285285907	1
POLE	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	1
POLH	1	837	4	6291	1.8787542066398744	0.4647749093800094	0.03810986288785512	19.01493552341655	1
PTCH1	4	834	0	6295	Inf	1.892948090786979e-4	4.970358070341893	Inf	0.012682752208272759
PTPN11	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	1
RAD50	4	834	9	6286	3.34875439098225	0.05681727012132039	0.7519416232520227	12.032989306782287	1
RAD51D	4	834	4	6291	7.539206949787633	0.008967668310127979	1.4014964461001227	40.570638229713914	0.6008337767785745
RECQL4	5	833	23	6272	1.6366842808248574	0.36891673872398634	0.48473332277616193	4.417492582170107	1
RMRP	2	836	NA	NA	0	0	0	0	0
SDHA	2	836	2	6293	7.5235717116864915	0.07036197010642671	0.5446879558231963	103.94551488483673	1
SLX4	2	836	6	6289	2.5069676683362214	0.24015598228593876	0.24708544070146576	14.047107929499367	1
SMARCB1	2	836	1	6294	15.046277272896583	0.03812979011799322	0.7825039042884844	882.9098655217881	1
SMARCE1	2	836	0	6295	Inf	0.013787512465463687	1.4116947427591102	Inf	0.923763335186067
SOS1	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	1
SOS2	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	1
SUFU	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	1
TERT	2	836	3	6292	5.015716466040744	0.10829849391382611	0.41835608313505074	43.87109988195267	1
TP53	9	829	4	6291	17.061172694706745	1.886538656562117e-6	4.749163042479272	75.9720957555366	1.2639808998966183e-4
TSC1	5	833	0	6295	Inf	2.2145023253139915e-5	6.907738174963094	Inf	0.0014837165579603742
TSC2	8	830	0	6295	Inf	3.5231020595083294e-8	12.912061888983686	Inf	2.3604783798705806e-6
VHL	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	1
WRN	1	837	16	6279	0.4688998024873866	0.7116939072890811	0.01117054120699652	3.0257953571245033	1
XPC	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	1
