Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_Z7R92XX6	0	0.10418556432960571	0	0	0.17125599877285042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1929775735798081	0	0	0	0.09745036495992503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z61JVJ03	0.1559004348629484	0	0	0	0	0	0	0	0	0	0	0.06257588315297681	0	0.0699271519316939	0	0	0	0	0	0	0.34867548808525695	0	0	0	0	0	0	0.08465994262389695	0	0	0	0.1292477363876405	0	0	0	0	0.09006329583254936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z5VJCFNP	0	0	0.5214914876115542	0	0.18120605063931602	0	0	0	0	0	0	0.18028310992758576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z5D6G1S6	0.09718112530112626	0	0.2973258323487688	0	0.29468593134140414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13662586522425335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08834973584355238	0	0	0	0	0	0	0	0	0	0
BS_Z4S81HG1	0	0	0.24826701325825631	0	0	0	0	0	0	0	0	0.4360052231065574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15286533807422256	0	0	0	0.06085595687404825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z4Q8RH5M	0.10368358825247093	0	0.22733359744891765	0	0.3696670816400396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08515802495444404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14566487362326022	0	0	0	0	0	0	0	0	0	0
BS_Z34PQDYT	0.13872493854895115	0	0.28146628036403193	0	0.3112880814898114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08458895677496417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06916050289627047	0	0	0	0	0	0	0	0	0	0
BS_Z1BBZ01F	0.11565816200439137	0	0.3453489306697947	0	0.30070487362803594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11089372166326333	0	0	0	0	0	0	0	0	0	0
BS_Z14Z2JMW	0	0	0.32534213842306486	0	0	0.0671311250047412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09476694022891734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1641717358974246	0.07095779674620699	0	0	0	0.08516130686678827	0	0	0	0	0
BS_YZD4SSMA	0	0	0.3330722872745249	0	0.19467634699045935	0	0	0	0	0	0	0.089991919509585	0	0	0	0	0	0	0	0	0	0	0	0	0.1830240104069718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YZ2YNEJJ	0	0	0.2694921232030277	0	0	0.06957365019889253	0	0	0	0	0	0.6422696259606541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YZ0P5E8H	0.07287734899588406	0	0.18543320090472173	0	0.431890888326196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06607750974242177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11112083233507818	0	0	0	0	0	0	0	0	0	0
BS_YYAPSA5P	0	0	0.29759965162218555	0	0.12537106196440184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21130641310086645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0892508239115605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YXCVR90M	0.09699522728466961	0	0.2774088357740274	0	0.27949913985488617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944131578839233	0	0	0	0	0	0	0	0	0	0	0	0.0662829588342335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1299656465296171	0	0	0	0	0	0	0	0	0	0
BS_YVFFHJ1Q	0.07833906093656885	0	0.41255061649460495	0	0.16724027966831842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06055868502452554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06316986440017519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15208095985152553	0	0	0	0	0	0	0	0	0	0
BS_YRC54VPP	0.06854682796853381	0	0.3557978634021995	0	0.19301592579140314	0	0	0	0	0	0	0.3109238632464615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YPCTK927	0	0	0.3052356994429503	0	0.09206166460559327	0.09186569335490936	0	0	0	0	0	0.11424077393650943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12312751921731509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19604344577874172	0	0	0	0	0	0	0	0	0	0
BS_YMDPFK0V	0.11926731905642775	0	0.1610364043920126	0	0.4161468038844657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0759081253089543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14305069155261982	0	0	0	0	0	0	0	0	0	0
