Hugo_Symbol	Kids_First_Biospecimen_ID_rna	expr_zscore
BRAF	BS_5PJCHF6V	1.1754201316629578
DDX11	BS_5PJCHF6V	0.5378060403705884
ERCC2	BS_5PJCHF6V	-0.47596764622990273
PIK3C2B	BS_5PJCHF6V	-0.7490779563640279
FANCG	BS_5PJCHF6V	1.3401178322581648
MSH6	BS_5PJCHF6V	0.5450887891131915
MN1	BS_5PJCHF6V	-1.2353164361206976
APC	BS_5PJCHF6V	-0.15956626987344555
MSH2	BS_5PJCHF6V	1.365652397098333
PTCH2	BS_5PJCHF6V	-0.05931461931487236
SUFU	BS_5PJCHF6V	0.726402990890236
NF1	BS_5PJCHF6V	1.0964905564535783
PPM1D	BS_5PJCHF6V	1.9039823159041667
PMS2	BS_5PJCHF6V	0.6739630522724674
RECQL4	BS_5PJCHF6V	0.8250404519802906
POLH	BS_5PJCHF6V	-0.0073470374404081325
LYST	BS_5PJCHF6V	0.7018354294715999
ATM	BS_5PJCHF6V	0.5051772180063542
WRN	BS_5PJCHF6V	0.10869461204470775
PTCH1	BS_5PJCHF6V	-0.41300825957608384
EPHA7	BS_5PJCHF6V	-0.5258605091168823
EZH2	BS_5PJCHF6V	1.0743624226827222
MSH3	BS_5PJCHF6V	0.6387426111691694
FANCI	BS_5PJCHF6V	0.2339199614916798
SLX4	BS_5PJCHF6V	0.6983161566942424
DYNC2H1	BS_5PJCHF6V	-0.03928914285694675
CHEK2	BS_5PJCHF6V	-0.01713219221378803
TDRD9	BS_5PJCHF6V	0.005362500116683662
BUB1B	BS_5PJCHF6V	0.2753425594655121
FANCC	BS_5PJCHF6V	0.77887026651697
RAD51D	BS_5PJCHF6V	-0.05744979767138914
ERCC4	BS_5PJCHF6V	0.3579809104707115
FANCD2	BS_5PJCHF6V	0.6710675500184505
FANCA	BS_5PJCHF6V	0.5764055795208088
BRCA1	BS_5PJCHF6V	0.9943753128457073
ERBB4	BS_5PJCHF6V	-0.45094162419364303
FANCM	BS_5PJCHF6V	1.6001537932008176
CDKN2A	BS_5PJCHF6V	-0.4752697369092901
BLM	BS_5PJCHF6V	-0.5750465876144705
PIK3C2G	BS_5PJCHF6V	-0.21613051034075229
ROS1	BS_5PJCHF6V	-0.1700600243929896
SLCO1B3	BS_5PJCHF6V	-0.13504162764143654
BRIP1	BS_5PJCHF6V	1.237283914424042
BRCA2	BS_5PJCHF6V	0.7310587559865482
ABCB11	BS_5PJCHF6V	-0.2788658009071395
MPL	BS_5PJCHF6V	-0.30419847557727536
TERT	BS_5PJCHF6V	-0.19571723596449603
RMRP	BS_5PJCHF6V	0.09181838417941313
PRSS1	BS_CREQ97QC	-0.19051178210370137
CTNNA1	BS_CREQ97QC	-0.31039920763540924
SDHA	BS_CREQ97QC	0.99320908252856
FH	BS_CREQ97QC	0.6337940109773499
BAP1	BS_CREQ97QC	1.0951193781993191
GJB2	BS_CREQ97QC	-0.10315822421981663
AKT1	BS_CREQ97QC	-0.4653571731095212
PTPN11	BS_CREQ97QC	0.5907401198071127
SMARCB1	BS_CREQ97QC	-0.24831240843436095
PIK3R1	BS_CREQ97QC	0.5458935414149105
DDX41	BS_CREQ97QC	0.074696235919864
TSC2	BS_CREQ97QC	0.24502180888345995
ERCC3	BS_CREQ97QC	0.11645961400941361
EPCAM	BS_CREQ97QC	-0.04605417387089072
LZTR1	BS_CREQ97QC	0.20854613954603451
XPC	BS_CREQ97QC	-0.30013912395900344
ASXL1	BS_CREQ97QC	-0.4169079704952351
EXT2	BS_CREQ97QC	-0.5232033817755258
PTEN	BS_CREQ97QC	0.26731343850090833
KDM6B	BS_CREQ97QC	-0.43519768106964796
COL7A1	BS_CREQ97QC	-0.2736959646931574
SMARCE1	BS_CREQ97QC	-0.796931499819686
CREBBP	BS_CREQ97QC	-0.18204077569029187
WAS	BS_CREQ97QC	-0.45355893220574917
EDNRB	BS_CREQ97QC	0.7781733816471754
GAB2	BS_CREQ97QC	0.4954858929590002
TSC1	BS_CREQ97QC	0.3118333950682819
GBA	BS_CREQ97QC	0.16455631613406682
NBN	BS_CREQ97QC	0.06813901618083804
SOS1	BS_CREQ97QC	0.2724380355929024
PRF1	BS_CREQ97QC	-0.7039046982255097
TP53	BS_CREQ97QC	-1.002985150877333
SOS2	BS_CREQ97QC	0.4324566130413694
VHL	BS_CREQ97QC	0.08745875597105432
KMT2C	BS_CREQ97QC	0.2910525036106069
POLE	BS_CREQ97QC	-0.5973308225500639
FAH	BS_CREQ97QC	-0.3278083232104415
MUTYH	BS_CREQ97QC	-0.396139187998537
RAD50	BS_CREQ97QC	0.8409690520281157
NF2	BS_CREQ97QC	0.36475741583598686
NTHL1	BS_CREQ97QC	0.11449807142268477
HMBS	BS_CREQ97QC	-0.7877701705382587
BRAF	BS_CREQ97QC	1.1016856767341185
DDX11	BS_CREQ97QC	-0.8028136519213083
ERCC2	BS_CREQ97QC	-0.0983901034768172
PIK3C2B	BS_CREQ97QC	1.1910098493699293
FANCG	BS_CREQ97QC	-0.5033290608711797
MSH6	BS_CREQ97QC	-0.3250104075404676
MN1	BS_CREQ97QC	0.16527426780049262
