#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG02382	EAS	EAS	1	0	0	0	0	-6.7628	-44.7719	-0.4481	8.5528	5.5661	NA	NA	NA	NA	NA
HG01893	AMR	AMR	0	9e-4	0.9991	0	0	3.3863	-12.7828	-17.1147	-20.3498	2.8633	NA	NA	NA	NA	NA
NA19077	EAS	EAS	1	0	0	0	0	-7.4617000000000004	-43.3425	-3.3454	5.9631	-3.2459	NA	NA	NA	NA	NA
NA06994	EUR	EUR	0	0	0.0159	0	0.9841	-1.0999	11.7789	-4.023	7.6038	-1.8116	NA	NA	NA	NA	NA
HG01136	AMR	AMR	0	0.002	0.9979	0	0	4.3293	-0.0691	-11.3788	-3.6087	6.2874	NA	NA	NA	NA	NA
HG00127	EUR	EUR	0	0	0.0026	0	0.9974	-0.0862	13.6011	-3.8499	9.7743	2.1912	NA	NA	NA	NA	NA
NA18592	EAS	EAS	1	0	0	0	0	-8.2013	-44.3079	-2.5393	6.9125	1.2611	NA	NA	NA	NA	NA
NA18962	EAS	EAS	1	0	0	0	0	-6.2627	-43.5735	-3.1779	4.2993	-3.0153	NA	NA	NA	NA	NA
NA19901	AFR	AFR	0	0.9842	0.0158	0	0	54.5285	-15.464	-1.6252	0.2705	0.943	NA	NA	NA	NA	NA
HG03452	AFR	AFR	0	0.9999	1e-4	0	0	62.0195	-17.5796	-0.2433	1.3337	2.8021	NA	NA	NA	NA	NA
NA20867	SAS	SAS	0	0	0	1	0	2.2213	-4.7409	17.5394	-4.6694	0.7022	NA	NA	NA	NA	NA
HG03902	SAS	SAS	0	0	0	1	0	-0.0026	-10.3293	15.2432	-3.9098	2.6639	NA	NA	NA	NA	NA
HG01441	AMR	AMR	0	8e-4	0.9992	0	0	-1.0065	-4.8232	-9.8938	-11.2937	-0.1139	NA	NA	NA	NA	NA
HG01125	AMR	AMR	0	3e-4	0.9997	0	0	5.5697	0.3728	-8.1225	-5.7867	2.3804	NA	NA	NA	NA	NA
HG02971	AFR	AFR	0	0.9995	5e-4	0	0	63.3327	-18.808	0.2439	2.7401	4.5327	NA	NA	NA	NA	NA
NA18639	EAS	EAS	1	0	0	0	0	-7.2624	-46.3648	-0.3891	8.9358	-0.0346	NA	NA	NA	NA	NA
NA12283	EUR	EUR	0	0	0.0016	0	0.9984	0.867	11.9279	-4.9236	7.9249	3.2061	NA	NA	NA	NA	NA
NA19735	AMR	AMR	0	9e-4	0.9991	0	0	-6.3953	-20.1985	-19.9579	-30.807	1.7723	NA	NA	NA	NA	NA
HG00273	EUR	EUR	0	0	0.0352	0	0.9648	-1.0087	8.4085	-6.448	8.9962	-4.3497	NA	NA	NA	NA	NA
NA19108	AFR	AFR	0	0.9987	0.0013	0	0	62.2909	-17.1595	-0.401	1.7481	0.1997	NA	NA	NA	NA	NA
HG00599	EAS	EAS	1	0	0	0	0	-8.3902	-43.996	-3.7148	7.125	1.5791	NA	NA	NA	NA	NA
HG01597	EAS	EAS	0.9999	0	1e-4	0	0	-6.2234	-43.9143	-0.2311	8.8156	5.4652	NA	NA	NA	NA	NA
HG01149	AMR	AMR	0	5e-4	0.9995	0	0	2.4044	-5.944	-12.9124	-10.5843	5.1194	NA	NA	NA	NA	NA
HG01628	EUR	EUR	0	0	0.0131	0	0.9869	6.2243	11.1234	-4.7791	10.7903	5.0434	NA	NA	NA	NA	NA
NA19004	EAS	EAS	1	0	0	0	0	-8.3428	-43.7362	-1.1897	6.578	-4.2666	NA	NA	NA	NA	NA
HG00442	EAS	EAS	1	0	0	0	0	-6.4834	-44.928	-2.377	6.2569	1.3383	NA	NA	NA	NA	NA
HG01862	EAS	EAS	1	0	0	0	0	-7.1696	-44.0595	-0.5388	5.9741	3.4383	NA	NA	NA	NA	NA
